sim_results,sim_results_anti,total_overpacked_time,total_ride_time
0.0,0.0,0,378880
0.0,0.0,0,376098
0.0,0.0,0,368111
0.0,0.0,0,384786
0.0,0.0,0,382168
0.0,0.0,0,389773
0.0,0.0,0,378549
0.0,0.0,0,373054
0.01469927466461262,0.010539168433905276,12599,388381
0.0,0.0,0,381876
0.005404349524677692,0.00501432664756447,12459,384895
0.0,0.0,0,377907
0.0,0.0,0,375056
0.0,0.0,0,377963
0.0,0.0,0,379504
0.0,0.0,0,371079
0.0,0.0,0,377477
0.0072088023270519795,0.004427857549497122,11878,395368
0.0,0.0,0,371062
0.0,0.0,0,378853
0.0,0.0,0,374771
0.0,0.0,0,377032
0.0,0.0,0,380373
0.0,0.0,0,386327
0.0,0.0,0,380086
0.0,0.0,0,385240
0.0,0.0,0,393573
0.009590010941623222,0.00951952145108381,12333,386354
0.010208667736757625,0.008350462487153135,12430,392058
0.011002289493767489,0.00781299625230261,12759,391869
0.014131812420785804,0.005689001264222503,13100,395402
0.0,0.0,0,390951
0.0,0.0,0,374513
0.0,0.0,0,379008
0.0,0.0,0,391548
0.0022210940474679526,0.006089438629876308,12374,391670
0.0,0.0,0,379928
0.0,0.0,0,377436
0.0,0.0,0,378077
0.0,0.0,0,375340
0.0,0.0,0,383477
0.0,0.0,0,378029
0.0,0.0,0,379160
0.0,0.0,0,378339
0.0,0.0,0,388010
0.0,0.0,0,381156
0.0,0.0,0,383937
0.006988934187536401,0.007962711206059429,12116,386817
0.0,0.0,0,384910
0.0,0.0,0,381605
0.0,0.0,0,370473
0.0,0.0,0,372593
0.0,0.0,0,372273
0.0,0.0,0,380783
0.0,0.0,0,379575
0.0,0.0,0,376959
0.010743695316520844,0.011433710174717369,12472,384469
0.0,0.0,0,372221
0.0,0.0,0,384941
0.0,0.0,0,377393
0.0,0.0,0,376143
0.0,0.0,0,378737
0.0,0.0,0,376114
0.0,0.0,0,388134
0.0,0.0,0,379205
0.0,0.0,0,377430
0.0,0.0,0,367641
0.0,0.0,0,376610
0.0067178502879078695,0.014652249024249792,12284,390250
0.011012807028398193,0.006240731586752348,12746,404095
0.0,0.0,0,382577
0.0,0.0,0,371711
0.0,0.0,0,383160
0.0,0.0,0,385259
0.0,0.0,0,375842
0.0,0.0,0,380978
0.0,0.0,0,386861
0.0,0.0,0,363574
0.0,0.0,0,391010
0.0,0.0,0,382210
0.0,0.0,0,378966
0.010337742391164762,0.004563861927106769,12726,390418
0.010926517571884984,0.005419881400242301,12884,394135
0.0,0.0,0,377933
0.0,0.0,0,387885
0.0,0.0,0,379301
0.00013597117411108845,0.0,601,374749
0.0,0.0,0,371392
0.0,0.0,0,375645
0.0,0.0,0,371770
0.0,0.0,0,391158
0.0,0.0,0,383527
0.0,0.0,0,381216
0.0,0.0,115,379919
0.0,0.0,0,374969
0.0,0.0,0,374432
0.0,0.0,0,386439
0.0,0.0,0,380175
0.0,0.0,0,380656
0.0,0.0,0,378250
0.0,0.0,0,380645
0.011028468838163632,0.006850630642166592,12468,386893
0.0,0.0,0,384666
0.0,0.0,0,368441
0.0,0.0,0,380626
0.0,0.0,0,369884
0.0,0.0,0,373082
0.0,0.0,0,385297
0.0,0.0,0,365187
0.0,0.0,0,372167
0.0,0.0,0,382299
0.0,0.0,0,373413
0.0,0.0,0,375502
0.0,0.0,0,380596
0.0,0.0,0,388184
0.0,0.0,0,389322
0.0,0.0,0,371541
0.0,0.0,0,383190
0.0,0.0,0,379301
0.0,0.0,0,372951
0.0,0.0,0,376155
0.0,0.0,0,385427
0.0,0.0,0,380122
0.0,0.0,0,372462
0.008665966386554622,0.00951256314373811,12021,375583
0.0,0.0,0,371192
0.011555218791437772,0.0032878098128477492,12494,395929
0.0,0.0,1531,376490
0.0,0.0,0,374983
0.012009709978280311,0.009122225057412605,12598,393233
0.0,0.0,0,366381
0.0,0.0,0,374712
0.011739525230250356,0.011036811010842043,12449,388374
0.0,0.0,0,379620
0.0,0.0,0,385363
0.0,0.0,0,378863
0.0,0.0,0,381367
0.0,0.0,0,391226
0.0,0.0,0,377857
0.0,0.0,0,383072
0.0,0.0,0,377665
0.0,0.0,0,391350
0.0,0.0,0,371980
0.0,0.0,0,383546
0.0,0.0,0,386058
0.005303853281359831,0.005554846124377474,12531,385450
0.005956234623850835,0.008336025848142165,12476,385355
0.0,0.0,0,371237
0.0,0.0,0,384252
0.011798489293963418,0.008728723735893758,12210,399095
0.0,0.0,0,390685
0.0,0.0,0,378369
0.0,0.0,0,380405
0.0,0.0,0,377086
0.0,0.0,0,380202
0.008144269924374637,0.006895662821421666,11895,383321
0.014463613957711766,0.009720062208398134,12850,383272
0.0,0.0,0,363265
0.0,0.0,0,377824
0.00403199583793978,0.0014970059880239522,12225,381496
0.0,0.0,0,381724
0.0,0.0,0,380588
0.0,0.0,0,380540
0.0,0.0,0,375736
0.0,0.0,0,380853
0.0,0.0,0,373005
0.0,0.0,0,377033
0.0,0.0,0,372839
0.0,0.0,0,382740
0.0,0.0,670,375069
0.0,0.0,0,384476
0.0,0.0,0,388918
0.0,0.0,0,385121
0.0,0.0,0,377746
0.0,0.0,0,389661
0.0,0.0,0,377406
0.0,0.0,0,377520
0.0,0.0,1522,380156
0.0,0.0,0,381366
0.0,0.0,0,373621
0.0,0.0,0,383983
0.0,0.0,0,384685
0.0,0.0,0,369446
0.012041210560206054,0.010743695316520844,12720,384165
0.0,0.0,0,379465
0.0,0.0,0,383373
0.00943701118221188,0.00594161715319039,12772,388920
0.011341914107302153,0.01452414320295579,12593,393538
0.0,0.0,0,376817
0.0,0.0,0,371289
0.011161426111359143,0.006750302489970069,12572,392190
0.010430579405965782,0.007764271622223637,12292,392571
0.010464058234758872,0.005132202949392581,12727,380975
0.0,0.0,0,379464
0.0,0.0,0,383411
0.0,0.0,0,378740
0.0,0.0,0,380225
0.0,0.0,450,378342
6.536374926465782e-05,0.0,1178,389337
0.0,0.0,0,386207
0.0,0.0,0,374336
0.014869138128237907,0.004703352818652153,11907,367635
0.0,0.0,0,381226
0.0,0.0,0,377472
0.0,0.0,0,375608
0.0,0.0,0,366167
0.0,0.0,0,382189
0.0,0.0,0,383574
0.0,0.0,0,367039
0.0,0.0,0,368987
0.0,0.0,0,373945
0.0,0.0,0,391359
0.0,0.0,0,367647
0.0,0.0,0,375679
0.0,0.0,0,376626
0.0,0.0,0,392604
0.0,0.0,0,379308
0.0,0.0,0,371631
0.0,0.0,0,370816
0.0,0.0,0,386578
0.0,0.0,0,382511
0.0,0.0,0,374190
0.0,0.0,0,371008
0.015258366457238107,0.011222984672609505,12521,389246
0.0,0.0,0,382859
0.004691264105490047,0.010531658418982362,12361,393418
0.0,0.0,0,368188
0.0,0.0,0,376793
0.0,0.0,0,378471
0.0,0.0,0,382167
0.0,0.0,0,385343
0.0,0.0,0,393323
0.0,0.0,0,386054
0.0,0.0,0,381438
0.01282798833819242,0.011486793432409631,12609,385893
0.0,0.0,0,386668
0.0,0.0,0,383787
0.0,0.0,0,377306
0.0,0.0,0,375394
0.0,0.0,0,379627
0.0,0.0,0,390169
0.0,0.0,0,385694
0.0,0.0,0,381300
0.0,0.0,0,387318
0.0,0.0,0,384472
0.0,0.0,0,380712
0.0,0.0,0,378648
0.0,0.0,0,383610
0.0,0.0,0,383934
0.0,0.0,0,376901
0.0,0.0,0,384078
0.013603269893983905,0.013291584126781265,12673,387698
0.0,0.0,0,378604
0.0,0.0,0,375959
0.0,0.0,0,364395
0.006424816665585048,0.011177540940992981,12254,379155
0.0,0.0,0,380404
0.0,0.0,0,385471
0.0,0.0,0,375964
0.0,0.0,0,378519
0.00638894321663733,0.00764406115248922,11936,380563
0.0,0.0,0,371159
0.0,0.0,0,375822
0.005191771042897008,0.005317769130998703,12444,387093
0.0,0.0,0,374627
0.0,0.0,0,378755
0.0,0.0,0,373840
0.0,0.0,0,389469
0.0,0.0,0,378381
0.0,0.0,0,368867
0.0,0.0,0,382249
0.0,0.0,0,389181
0.0,0.0,0,380365
0.0,0.0,0,379531
0.0,0.0,0,378969
0.0,0.0,0,366661
0.0,0.0,0,380432
0.0,0.0,0,380903
0.0,0.0,0,384086
0.0,0.0,1595,375041
0.01042654028436019,0.005811382730086539,12142,397533
0.0,0.0,0,386877
0.0,0.0,0,378146
0.0,0.0,0,385334
0.0,0.0,0,374827
0.0,0.0,0,369180
0.0,0.0,0,383228
0.0,0.0,0,375813
0.0,0.0,0,387221
0.0,0.0,0,384195
0.0,0.0,0,383343
0.0,0.0,0,382079
0.0,0.0,0,381504
0.0,0.0,0,382186
0.0,0.0,0,371579
0.0,0.0,0,375662
0.0,0.0,0,388346
0.0,0.0,0,391055
