sim_results,sim_results_anti,total_overpacked_time,total_ride_time
0.020152552656669844,0.02879909921614482,17500,600114
0.010045293510919772,0.008161800977622315,20165,587408
0.0036303066541385496,0.007131571080838707,12967,617732
0.02663271032071481,0.02354109973651246,46532,606119
0.0081785730423388,0.00984910093069486,17285,583147
0.011601943872860208,0.01859305276052148,27090,603293
0.007860181246532273,0.003191784623924507,17151,572136
0.016189130155467045,0.016575295528524926,28236,610076
0.0009658725048293626,0.0006434119215037456,6497,576513
0.009869792873360827,0.0046332761895936615,23526,569331
0.010201885411734321,0.005379120406231173,22532,614450
0.029465020576131686,0.03903261629580883,48519,636281
0.004411764705882353,0.0065478841870824055,22405,595361
0.026161909299605837,0.02712422548637289,15686,602175
0.009565890766637818,0.008389185245976382,28116,580631
0.0028826355525051477,0.0035308143800440207,18169,575611
0.01282570541379776,0.018878101402373247,18798,585511
0.008338062600951674,0.01098901098901099,22901,602003
0.013630785413744741,0.011347207009857613,22103,600873
0.0236689078684354,0.020569404713254327,36707,580620
0.013571590137977834,0.012357414448669201,32746,582735
0.012646635558850464,0.01563796793779758,30199,602557
0.012396694214876033,0.018279148713931322,27719,603314
0.011042033961213695,0.013484708063021315,19499,566507
0.011556764106050306,0.011448999909494072,25898,587757
0.025263695134399456,0.01896742366249894,46695,614303
0.019769715402998045,0.020818875780707843,33074,604552
0.03130646720174812,0.0283506237137217,36983,612944
0.016274446345184705,0.015851009750912703,14020,572961
0.014825089947548659,0.02203808945381979,26349,605852
0.0,0.011148170146662402,10782,579211
0.01148565393416652,0.007483382488884976,27994,602166
0.02390523434827232,0.011568836712913554,31412,613566
0.028281975517095822,0.02892492188159784,49115,621534
0.018427571819722717,0.011981766876492295,33554,604221
0.0,0.0039133721705874504,8277,594841
0.010337817379644449,0.005931249458827604,19204,610209
0.0027021040974529345,0.00039939646756013134,6653,594218
0.004927007299270073,0.004463879019768607,12431,579298
0.01590732255554595,0.01553036857587818,19240,611001
0.024706288873531445,0.022794974744204118,46802,610653
0.02041457286432161,0.025893017411595765,37234,582560
0.019832389978500287,0.014374616530809011,26089,597424
0.02733794625801248,0.027418191078477143,48927,617416
0.015020522225133176,0.01118490038448095,30764,605614
0.0277655742026184,0.018828083758578217,31247,598557
0.004965110037573806,0.0009389251542519896,12490,589975
0.006194240281052097,0.010407993338884263,19277,570593
0.021332985749044145,0.010763888888888889,28562,605995
0.0,0.0,234,544578
0.0348466478063676,0.03527138749101366,42548,584536
0.0027628062865165995,0.002897894498528413,8388,585602
0.007909024838613141,0.006663249615581753,15618,616805
0.008555088150493927,0.005242773474400151,16835,560192
0.026685947153937163,0.029285589213797935,46089,596182
0.0028199763485854635,0.006271016995364901,8315,580418
0.0,0.0010557128461058593,6634,546475
0.040866714912093996,0.04767179312401482,43362,605509
0.03801765105227427,0.03010643259975406,69695,614711
0.006228688338258695,0.007633587786259542,16612,582835
0.0066306591138629075,0.007861911454673225,10620,598408
0.008044611024773746,0.006030150753768844,19707,576341
0.019702802268305807,0.04021514273893256,39164,625853
0.0,0.0,100,535844
0.006652291599761435,0.003077912532157295,8064,574599
0.05038078500292911,0.050138109985770486,58434,620252
0.010325131810193322,0.014070263377742602,31847,600130
0.0059874966980716735,0.014933262851856746,22983,599726
0.0033455400334554005,0.009440780558316018,23158,582781
0.0015488338192419825,0.003146661802261948,12071,577805
