sim_results,sim_results_anti,total_overpacked_time,total_ride_time
0.023349579087284005,0.03442928039702233,30435,583480
0.004573768349523021,0.004012911105295298,7181,604472
0.0037197231833910036,0.0062716262975778545,14232,608127
0.024281401758760993,0.028702690877269742,37373,592429
0.0,0.0,0,567969
0.006038540094130184,0.007140006208701051,22466,590554
0.0,0.0,1177,576769
0.002655637788419678,0.0022645124765927798,6664,606980
0.014633933251791019,0.013792501418532582,26947,602084
0.01011579928124584,0.004307282415630551,27027,590064
0.00260229720028715,0.008157776781712237,11277,585841
0.0017324863400115498,0.0032878659972453016,6163,589559
0.0212153292398899,0.020265696395329158,34238,622192
0.00574516980168525,0.004637903157178112,19325,617018
0.01296616970055328,0.013980992608236537,18253,620490
0.010283925776883524,0.0133404960157579,24683,587531
0.00017933198834342077,0.0001343784994400896,1584,591045
0.011911229991223304,0.010478416965851214,28046,626812
0.010530025994624841,0.012022194821208384,34698,593417
0.0033039149128762163,0.0012655367231638418,5906,581516
0.007160743311514299,0.008601395532540483,21563,599621
0.044214757393051966,0.06070798638172197,68434,629007
0.002915698288611874,0.006472081218274112,9283,622444
0.012060085836909871,0.010411757144693431,33407,613896
0.0022044521288091634,0.0015995849725476633,8595,610788
0.012366139724630291,0.007642663043478261,13128,622623
0.022432782636864268,0.025430249038266857,49500,641892
0.01944516463572725,0.00785362906705791,27705,607835
0.002324521422060164,0.004153544205577617,7019,580004
0.013972055888223553,0.014945878434637802,33971,630421
0.018467380048325856,0.01811437936685931,38908,604990
0.02202099197365713,0.01957148743304491,37814,636161
0.0008179783020492509,0.0023254812454244003,13133,611289
0.0,0.0,0,539682
0.026815357112454245,0.02052286468534446,24198,613361
0.0,0.0,0,580243
0.004588823262153567,0.011126248864668483,16742,581831
0.005284413129403678,0.011975276847798094,26027,609585
0.003876326718966313,0.008622279601623017,18026,567621
0.01762364980102331,0.011339258351210543,26786,603289
0.016402258671685935,0.03066935303335572,18994,582122
0.025436046511627907,0.019386179969127396,33429,573301
0.004442508710801394,0.0027836979687703885,10209,607130
0.010362918961106535,0.011308002252935314,25529,603672
0.012485214877119202,0.003767798466593647,10461,599919
0.004736101036822119,0.0026001705029838024,7252,618402
